gvkey,fyear,Rank,Name,Country
26156,2021,453,Hewlett Packard Enterprise,US
17452,2021,454,Danone,FR
,2021,455,Achmea,NL
293282,2021,456,Longfor Group Holdings,CN
63927,2021,457,United Natural Foods,US
213423,2021,458,Centrica,GB
18466,2021,459,Subaru,JP
,2021,460,Guangzhou Municipal Construction Group,CN
245036,2021,461,LG Chem,KR
28272,2021,462,AstraZeneca,GB
142953,2021,463,Mondelez International,US
,2021,464,Boehringer Ingelheim,DE
13714,2021,465,ViacomCBS,US
5568,2021,466,Kraft Heinz,US
203442,2021,467,Koç Holding,TR
,2021,468,Guangzhou Pharmaceutical Holdings,CN
272365,2021,469,Olam International,SG
205655,2021,470,China Resources Land,CN
,2021,471,Yunnan Provincial Investment Holding Group,CN
,2021,472,Bank of Montreal,CA
318847,2021,473,Samsung C&T,KR
317478,2021,474,WH Group,CN
31587,2021,475,Dollar Tree,US
1602,2021,476,Amgen,US
243090,2021,477,Compass Group,GB
329498,2021,478,Coles Group,AU
4723,2021,479,U.S. Bancorp,US
,2021,480,Ericsson,SE
260196,2021,481,Huayang New Material Technology Group,CN
30581,2021,482,Banco do Brasil,BR
28787,2021,483,Performance Food Group,US
147579,2021,484,Netflix,US
23671,2021,485,Nokia,FI
259543,2021,486,Zijin Mining Group,CN
63477,2021,487,BAE Systems,GB
259980,2021,488,Gree Electric Appliances,CN
24856,2021,489,Gilead Sciences,US
156155,2021,490,TD Synnex,US
15549,2021,491,UniCredit Group,IT
101304,2021,492,Holcim,CH
16281,2021,493,Mapfre Group,ES
250447,2021,494,Alfresa Holdings,JP
6730,2021,495,Eli Lilly,US
11856,2021,496,Truist Financial,US
318920,2021,497,China Reinsurance (Group),CN
24512,2021,498,Commonwealth Bank of Australia,AU
,2021,499,Flex,SG
9155,2021,500,Rite Aid,US
