gvkey,curcd,fyear,datadate,at,emp,revt,conm,naics,sic
220546,USD,2018,2018-12-31,112508.0000,20.5250,78555.0000,EQUINOR ASA,324110,2911
220546,USD,2019,2019-12-31,118063.0000,21.4120,62911.0000,EQUINOR ASA,324110,2911
220546,USD,2020,2020-12-31,121972.0000,21.2450,45753.0000,EQUINOR ASA,324110,2911
220546,USD,2021,2021-12-31,147120.0000,21.1260,88744.0000,EQUINOR ASA,324110,2911
220546,USD,2022,2022-12-31,158021.0000,21.9360,149004.0000,EQUINOR ASA,324110,2911
220546,USD,2023,2023-12-31,143580.0000,23.4490,106848.0000,EQUINOR ASA,324110,2911
267407,USD,2015,2015-12-31,128485.0000,156.4680,170497.0000,GLENCORE PLC,2121,1220
267407,USD,2016,2016-12-31,124600.0000,154.8320,152948.0000,GLENCORE PLC,2121,1220
267407,USD,2017,2017-12-31,135593.0000,145.9770,205476.0000,GLENCORE PLC,2121,1220
267407,USD,2018,2018-12-31,128672.0000,158.0000,219754.0000,GLENCORE PLC,2121,1220
267407,USD,2019,2019-12-31,124076.0000,89.0920,215111.0000,GLENCORE PLC,2121,1220
267407,USD,2020,2020-12-31,118000.0000,87.8220,142338.0000,GLENCORE PLC,2121,1220
267407,USD,2021,2021-12-31,127510.0000,81.2840,203751.0000,GLENCORE PLC,2121,1220
267407,USD,2022,2022-12-31,132583.0000,81.7060,255984.0000,GLENCORE PLC,2121,1220
267407,USD,2023,2023-12-31,123869.0000,83.4260,217829.0000,GLENCORE PLC,2121,1220
269556,RUB,2015,2015-12-31,9638000.0000,,5038000.0000,ROSNEFT OIL COMPANY,324110,2911
269556,RUB,2016,2016-12-31,11030000.0000,,4765000.0000,ROSNEFT OIL COMPANY,324110,2911
269556,RUB,2017,2017-12-31,12227000.0000,,5628000.0000,ROSNEFT OIL COMPANY,324110,2911
