gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,at,emp,revt,costat,naics
002410,2018-12-31,2018,INDL,C,D,STD,BP PLC,USD,282176.0000,73.0000,298756.0000,A,324110
002410,2019-12-31,2019,INDL,C,D,STD,BP PLC,USD,295194.0000,70.1000,278397.0000,A,324110
002410,2020-12-31,2020,INDL,C,D,STD,BP PLC,USD,267654.0000,63.6000,180366.0000,A,324110
002410,2021-12-31,2021,INDL,C,D,STD,BP PLC,USD,287272.0000,65.9000,157739.0000,A,324110
002410,2022-12-31,2022,INDL,C,D,STD,BP PLC,USD,288120.0000,67.6000,241392.0000,A,324110
002410,2023-12-31,2023,INDL,C,D,STD,BP PLC,USD,280294.0000,87.8000,210130.0000,A,324110
002547,2015-12-31,2015,FS,C,D,STD,CIGNA GROUP (THE),USD,57088.0000,39.3000,37919.0000,A,524114
002547,2015-12-31,2015,INDL,C,D,STD,CIGNA GROUP (THE),USD,57088.0000,39.3000,37876.0000,A,524114
002547,2016-12-31,2016,FS,C,D,STD,CIGNA GROUP (THE),USD,59360.0000,41.0000,39711.0000,A,524114
002547,2016-12-31,2016,INDL,C,D,STD,CIGNA GROUP (THE),USD,59360.0000,41.0000,39668.0000,A,524114
002547,2017-12-31,2017,FS,C,D,STD,CIGNA GROUP (THE),USD,61753.0000,46.0000,41666.0000,A,524114
002547,2017-12-31,2017,INDL,C,D,STD,CIGNA GROUP (THE),USD,61753.0000,46.0000,41616.0000,A,524114
002547,2018-12-31,2018,FS,C,D,STD,CIGNA GROUP (THE),USD,153226.0000,73.8000,48501.0000,A,524114
002547,2018-12-31,2018,INDL,C,D,STD,CIGNA GROUP (THE),USD,153226.0000,73.8000,48489.0000,A,524114
002547,2019-12-31,2019,FS,C,D,STD,CIGNA GROUP (THE),USD,155774.0000,73.7000,153796.0000,A,524114
002547,2019-12-31,2019,INDL,C,D,STD,CIGNA GROUP (THE),USD,155774.0000,73.7000,153699.0000,A,524114
